country,city,population,latitude_degs,latitude_mins,longtitude_degs,longtitude_mins
США,США.Тусон,546000,32,13,-110,-56.0
США,США.Эль-Пасо,683000,31,47,-106,-25.0
Канада,Канада.Эдмонтон,933000,53,37,-113,-29.0
США,США.Норфолк,246000,36,51,-76,-16.0
США,США.Оклахома-Сити,592000,35,29,-97,-32.0
США,США.Нашвилл,691000,36,10,-86,-47.0
США,США.Роли,440000,35,49,-78,-39.0
США,США.Мемфис,647000,35,7,-89,-58.0
США,США.Альбукерке,560000,35,7,-106,-37.0
США,США.Бирмингем,209000,33,31,-86,-49.0
США,США.Рочестер,208000,43,10,-77,-37.0
США,США.Фресно,530000,36,47,-119,-48.0
США,США.Новый Орлеан,384000,29,58,-90,-6.0
Канада,Канада.Саскатун,246000,52,8,-106,-40.0
Канада,Канада.Монктон,158000,46,8,-64,-46.0
Канада,Канада.Реджайна,215000,50,27,-104,-36.0
Канада,Канада.Большой Садбери,162000,46,29,-81,-1.0
Канада,Канада.Ред-Дир,101000,52,16,-113,-49.0
Канада,Канада.Шербрук,155000,45,27,-71,-53.0
Канада,Канада.Камлупс,90000,50,41,-120,-20.0
Канада,Канада.Принс-Джордж,81000,53,55,-122,-45.0
Канада,Канада.Летбридж,75000,49,42,-112,-50.0
Канада,Канада.Труа-Ривьер,126000,46,21,-72,-33
